,country,Female,Male,Total
0,AIN,17,15,32
1,Afghanistan,7,119,126
2,Albania,20,38,58
3,Algeria,91,368,459
4,American Samoa,7,30,37
5,Andorra,23,46,69
6,Angola,106,112,218
7,Antigua and Barbuda,22,59,81
8,Argentina,396,1840,2236
9,Armenia,36,146,182
10,Aruba,14,26,40
11,Australasia,2,69,71
12,Australia,1766,3074,4840
13,Austria,638,2166,2804
14,Azerbaijan,82,194,276
15,Bahamas,8,11,19
16,Bahrain,39,99,138
17,Bangladesh,13,35,48
18,Barbados,27,98,125
19,Belarus,394,489,883
20,Belgium,448,2080,2528
21,Belize,8,48,56
22,Benin,12,51,63
23,Bermuda,30,105,135
24,Bhutan,14,12,26
25,Bohemia,4,74,78
26,Bolivia,22,78,100
27,Bosnia & Herzegovina,3,2,5
28,Bosnia and Herzegovina,26,58,84
29,Botswana,10,74,84
30,Brazil,839,1826,2665
31,British Virgin Islands,5,26,31
32,Brunei Darussalam,3,11,14
33,Bulgaria,466,1181,1647
34,Burkina Faso,13,31,44
35,Burundi,13,23,36
36,Cabo Verde,12,14,26
37,Cambodia,13,39,52
38,Cameroon,81,179,260
39,Canada,2120,3781,5901
40,Cayman Islands,12,34,46
41,Centr Afric Re,2,2,4
42,Central African Republic,13,37,50
43,Chad,8,26,34
44,Chile,107,561,668
45,China,264,134,398
46,Chinese Taipei,263,470,733
47,Colombia,222,546,768
48,Comoros,9,13,22
49,Congo,32,51,83
50,Cook Islands,14,22,36
51,Costa Rica,39,145,184
52,Crete,0,8,8
53,Croatia,156,410,566
54,Cuba,355,1076,1431
55,Cyprus,50,97,147
56,Czechia,382,687,1069
57,Czechoslovakia,377,1844,2221
58,Côte d'Ivoire,51,120,171
59,DPR Korea,10,4,14
60,DR Congo,3,3,6
61,Democratic People's Republic of Korea,218,214,432
62,Democratic Republic of the Congo,25,52,77
63,Denmark,523,1771,2294
64,Djibouti,8,30,38
65,Dominica,10,13,23
66,Dominican Republic,87,253,340
67,EOR,13,24,37
68,East Germany,443,943,1386
69,Ecuador,88,150,238
70,Egypt,200,1138,1338
71,El Salvador,31,107,138
72,Equatorial Guinea,11,21,32
73,Eritrea,11,37,48
74,Estonia,106,331,437
75,Eswatini,9,40,49
76,Ethiopia,90,214,304
77,Federated States of Micronesia,9,12,21
78,Fiji,63,129,192
79,Finland,479,2217,2696
80,France,1671,6666,8337
81,Gabon,13,51,64
82,Gambia,3,4,7
83,Georgia,46,181,227
84,Germany,1794,4312,6106
85,Ghana,35,265,300
86,Great Britain,1965,5410,7375
87,Greece,440,1224,1664
88,Grenada,19,36,55
89,Guam,30,48,78
90,Guatemala,47,229,276
91,Guinea,22,72,94
92,Guinea Bissau,8,10,18
93,Guinea-Bissau,0,6,6
94,Guyana,19,67,86
95,Haiti,23,66,89
96,Honduras,23,156,179
97,"Hong Kong, China",139,257,396
98,Hungary,809,2553,3362
99,IR Iran,11,30,41
100,Iceland,60,271,331
101,Independent Olympic Athletes,23,54,77
102,India,242,913,1155
103,Indonesia,120,231,351
104,International Federation Representative,0,3,3
105,Iraq,7,230,237
106,Ireland,275,840,1115
107,Islamic Republic of Iran,43,554,597
108,Israel,173,360,533
109,Italy,1414,4552,5966
110,Jamaica,194,308,502
111,Japan,1809,3610,5419
112,Jordan,24,64,88
113,Kazakhstan,337,545,882
114,Kenya,191,477,668
115,Kingdom of Saudi Arabia,7,197,204
116,Kiribati,5,10,15
117,Korea,81,66,147
118,Korea Team,35,0,35
119,Kosovo,17,10,27
120,Kuwait,9,223,232
121,Kyrgyzstan,39,120,159
122,Lao PDR,3,1,4
123,Lao People's Democratic Republic,9,40,49
124,Latvia,133,438,571
125,Lebanon,30,169,199
126,Lesotho,14,42,56
127,Liberia,12,44,56
128,Libya,10,71,81
129,Liechtenstein,25,112,137
130,Lithuania,126,283,409
131,Luxembourg,47,411,458
132,Madagascar,32,61,93
133,Malawi,17,49,66
134,Malaya,1,40,41
135,Malaysia,85,286,371
136,Maldives,14,25,39
137,Mali,25,82,107
138,Malta,23,72,95
139,Marshall Islands,8,9,17
140,Mauritania,6,19,25
141,Mauritius,39,65,104
142,Mexico,439,1489,1928
143,Micronesia,1,2,3
144,Monaco,9,90,99
145,Mongolia,100,254,354
146,Montenegro,43,61,104
147,Morocco,90,503,593
148,Mozambique,23,44,67
149,Myanmar,22,77,99
150,Namibia,16,35,51
151,Nauru,3,11,14
152,Nepal,31,64,95
153,Netherlands,1222,2505,3727
154,Netherlands Antilles,11,55,66
155,New Zealand,634,1098,1732
156,Nicaragua,26,105,131
157,Niger,15,42,57
158,Nigeria,283,479,762
159,North Borneo,0,2,2
160,North Macedonia,26,39,65
161,North Yemen,0,10,10
162,Norway,553,2047,2600
163,Oman,5,46,51
164,Pakistan,16,387,403
165,Palau,14,12,26
166,Palestine,12,21,33
167,Panama,32,76,108
168,Papua New Guinea,18,55,73
169,Paraguay,27,119,146
170,People's Republic of China,1770,1482,3252
171,Peru,127,306,433
172,Philippines,80,372,452
173,Poland,929,2579,3508
174,Portugal,176,741,917
175,Puerto Rico,144,525,669
176,Qatar,8,165,173
177,ROC,342,312,654
178,Refugee Olympic Team,11,22,33
179,Republic of Korea,996,1834,2830
180,Republic of Moldova,54,122,176
181,Rhodesia,5,7,12
182,Romania,648,1449,2097
183,Russian Federation,1055,1493,2548
184,Rwanda,17,30,47
185,Saar,5,31,36
186,Saint Kitts and Nevis,11,9,20
187,Saint Lucia,12,16,28
188,Saint Vincent and the Grenadines,11,22,33
189,Samoa,13,69,82
190,San Marino,18,86,104
191,Sao Tome & Principe,2,1,3
192,Saudi Arabia,2,6,8
193,Senegal,61,203,264
194,Serbia,142,256,398
195,Serbia and Montenegro,30,188,218
196,Seychelles,17,53,70
197,Sierra Leone,18,54,72
198,Singapore,87,134,221
199,Slovakia,171,403,574
200,Slovenia,214,389,603
201,Solomon Islands,9,16,25
202,Somalia,6,20,26
203,South Africa,365,922,1287
204,South Sudan,3,16,19
205,South Vietnam,3,38,41
206,South Yemen,0,5,5
207,Soviet Union,729,2287,3016
208,Spain,975,2513,3488
209,Sri Lanka,31,76,107
210,St Kitts and Nevis,1,2,3
211,StVincent&Grenadines,2,2,4
212,Sudan,10,86,96
213,Suriname,9,30,39
214,Sweden,969,3388,4357
215,Switzerland,736,2757,3493
216,Syria,1,5,6
217,Syrian Arab Republic,13,124,137
218,São Tomé and Príncipe,6,9,15
219,Tajikistan,15,53,68
220,Tanzania,3,4,7
221,Thailand,170,400,570
222,The Bahamas,36,136,172
223,The Gambia,8,27,35
224,Timor-Leste,8,7,15
225,Togo,11,39,50
226,Tonga,11,35,46
227,Trinidad and Tobago,52,161,213
228,Tunisia,94,421,515
229,Turkmenistan,23,28,51
230,Tuvalu,3,7,10
231,Türkiye,252,815,1067
232,UA Emirates,4,9,13
233,Uganda,51,173,224
234,Ukraine,662,754,1416
235,Unified Team,220,409,629
236,United Arab Emirates,8,79,87
237,United Arab Republic,0,79,79
238,United Republic of Tanzania,11,103,114
239,United States,3400,8979,12379
240,United States Virgin Islands,29,134,163
241,Unknown,0,6,6
242,Uruguay,35,415,450
243,Uzbekistan,135,299,434
244,Vanuatu,12,23,35
245,Venezuela,142,485,627
246,Vietnam,74,68,142
247,"Virgin Islands, B",1,3,4
248,"Virgin Islands, US",1,4,5
249,West Germany,446,1351,1797
250,West Indies Federation,0,14,14
251,Yemen,6,32,38
252,Yugoslavia,175,1201,1376
253,Zambia,59,151,210
254,Zimbabwe,77,138,215
